date,produit_id,categorie,quantite_vendue,stock_initial,peremption_jours,prix_vente,promotion,temperature_max,pluie_mm,evenement,magasin
2024-11-16,Pommes_kg,fruit,82.0,177,7,600,0,35.9,0.1,None,Dakar_Corniche
2023-03-09,Tomates_kg,legume,124.0,373,7,500,0,25.0,0.3,None,Saint-Louis_Marche
2024-05-31,Huile_1L,epicerie,105.0,407,5,800,0,29.0,0.8,None,Dakar_Corniche
2024-11-22,Bananes_kg,fruit,38.0,227,14,700,0,29.6,1.6,None,Saint-Louis_Marche
2024-08-28,Tomates_kg,legume,126.0,144,5,500,0,40.8,0.2,None,Dakar_Corniche
2024-03-19,Huile_1L,epicerie,284.2679355602244,320,5,800,0,28.5,0.5,Ramadan,Thies_Centre
2022-08-20,Huile_1L,epicerie,102.0,381,5,800,0,25.0,1.1,None,Dakar_Corniche
2024-11-11,Poulet_frais,viande,37.0,262,14,2500,0,35.0,0.1,None,Dakar_Corniche
2022-02-03,Oignons_kg,legume,81.0,277,14,300,0,26.6,0.0,None,Saint-Louis_Marche
2023-04-25,Bananes_kg,fruit,59.0,318,14,700,0,32.2,2.3,None,Saint-Louis_Marche
2022-01-12,Oignons_kg,legume,78.0,470,7,300,0,25.0,0.6,None,Thies_Centre
2022-07-13,Poisson_frais,poisson,81.0,260,3,1500,0,35.3,0.3,None,Thies_Centre
2023-08-06,Huile_1L,epicerie,104.0,436,14,800,0,30.6,1.1,None,Thies_Centre
2022-05-30,Poisson_frais,poisson,67.0,393,7,1500,1,27.4,4.6,None,Thies_Centre
2024-04-02,Riz_5kg,epicerie,99.67089390642562,329,14,2000,1,25.8,0.1,Ramadan,Thies_Centre
2023-01-26,Sucre_1kg,epicerie,31.0,325,3,400,0,39.9,1.0,None,Dakar_Corniche
2022-01-02,Poulet_frais,viande,38.0,420,7,2500,0,29.5,1.4,None,Saint-Louis_Marche
2022-09-07,Oignons_kg,legume,95.0,489,5,300,1,25.5,0.2,None,Saint-Louis_Marche
2022-12-04,Sucre_1kg,epicerie,30.0,221,7,400,0,38.4,0.1,None,Thies_Centre
2022-11-27,Pommes_kg,fruit,82.0,176,5,600,1,29.6,0.0,None,Saint-Louis_Marche
2024-04-18,Poulet_frais,viande,36.0,339,5,2500,0,37.0,0.1,None,Dakar_Corniche
2022-03-16,Riz_5kg,epicerie,53.0,399,5,2000,0,28.2,0.2,None,Dakar_Corniche
2022-01-19,Poulet_frais,viande,41.0,323,14,2500,0,35.7,3.6,None,Dakar_Corniche
2022-12-26,Sucre_1kg,epicerie,27.0,211,3,400,0,32.5,1.0,None,Saint-Louis_Marche
2024-10-13,Riz_5kg,epicerie,67.0,370,3,2000,0,30.3,1.7,None,Saint-Louis_Marche
2023-07-22,Riz_5kg,epicerie,59.0,241,5,2000,0,25.4,3.5,None,Thies_Centre
2024-06-06,Riz_5kg,epicerie,56.0,376,10,2000,0,31.1,0.5,None,Saint-Louis_Marche
2023-03-25,Huile_1L,epicerie,228.55133556680184,307,14,800,0,29.4,1.2,Ramadan,Saint-Louis_Marche
2022-05-15,Sucre_1kg,epicerie,31.0,209,10,400,0,32.8,0.7,None,Dakar_Corniche
2024-07-02,Sucre_1kg,epicerie,20.0,256,10,400,0,33.9,5.1,None,Thies_Centre
2024-08-19,Huile_1L,epicerie,107.0,459,10,800,0,32.6,3.8,None,Saint-Louis_Marche
2023-10-19,Sucre_1kg,epicerie,28.0,476,7,400,0,28.1,0.9,None,Thies_Centre
2024-04-21,Lait_1L,produit_frais,76.0,380,10,1200,0,25.0,0.2,None,Thies_Centre
2024-02-16,Tomates_kg,legume,121.0,335,10,500,0,27.1,1.6,None,Dakar_Corniche
2024-01-23,Lait_1L,produit_frais,88.0,221,5,1200,0,42.3,0.6,None,Saint-Louis_Marche
2023-12-24,Riz_5kg,epicerie,46.0,306,10,2000,0,35.3,1.1,None,Thies_Centre
2022-06-13,Poulet_frais,viande,34.0,335,5,2500,0,25.0,2.2,None,Saint-Louis_Marche
2023-06-16,Oignons_kg,legume,81.0,158,10,300,0,35.9,2.5,None,Dakar_Corniche
2023-02-10,Pommes_kg,fruit,81.0,106,10,600,0,35.8,2.2,None,Thies_Centre
2022-08-08,Poisson_frais,poisson,77.0,364,14,1500,1,25.0,0.4,None,Thies_Centre
2022-12-31,Bananes_kg,fruit,62.0,280,3,700,0,32.0,0.3,None,Saint-Louis_Marche
2022-03-04,Poulet_frais,viande,38.0,484,10,2500,0,40.9,1.1,None,Thies_Centre
2022-07-19,Pommes_kg,fruit,79.0,363,10,600,0,30.8,0.1,None,Saint-Louis_Marche
2024-03-20,Bananes_kg,fruit,133.89010570500443,233,7,700,0,25.0,2.9,Ramadan,Dakar_Corniche
2024-05-13,Lait_1L,produit_frais,71.0,208,14,1200,0,30.2,3.4,None,Dakar_Corniche
2023-05-01,Oignons_kg,legume,102.0,344,7,300,0,41.8,2.4,None,Saint-Louis_Marche
2024-04-04,Poulet_frais,viande,107.12072412497072,271,5,2500,0,25.8,0.3,Ramadan,Thies_Centre
2024-11-02,Tomates_kg,legume,117.0,343,10,500,0,28.1,4.6,None,Dakar_Corniche
2024-03-10,Riz_5kg,epicerie,61.0,416,5,2000,1,31.8,0.5,None,Saint-Louis_Marche
2024-04-04,Huile_1L,epicerie,270.77169441038376,377,7,800,0,35.0,4.8,Ramadan,Thies_Centre
2024-03-01,Bananes_kg,fruit,60.0,479,3,700,0,34.8,0.4,None,Saint-Louis_Marche
2023-01-25,Riz_5kg,epicerie,63.0,304,3,2000,0,34.2,0.7,None,Dakar_Corniche
2024-11-12,Bananes_kg,fruit,59.0,126,7,700,0,28.6,2.1,None,Thies_Centre
2023-02-10,Sucre_1kg,epicerie,29.0,374,10,400,1,28.3,1.3,None,Saint-Louis_Marche
2022-06-03,Riz_5kg,epicerie,46.0,487,10,2000,0,33.5,0.8,None,Dakar_Corniche
2024-11-27,Tomates_kg,legume,128.0,452,3,500,0,33.0,1.4,None,Saint-Louis_Marche
2023-09-27,Huile_1L,epicerie,97.0,247,10,800,0,34.4,0.3,None,Dakar_Corniche
2024-01-24,Oignons_kg,legume,98.0,155,5,300,0,36.7,0.1,None,Saint-Louis_Marche
2024-01-26,Huile_1L,epicerie,315.9345067569351,227,14,800,0,35.0,4.7,None,Dakar_Corniche
2024-04-01,Poulet_frais,viande,58.88758250395663,389,10,2500,0,37.9,0.8,Ramadan,Dakar_Corniche
2022-10-22,Poulet_frais,viande,37.0,362,3,2500,0,27.1,2.6,None,Saint-Louis_Marche
2023-03-08,Riz_5kg,epicerie,44.0,241,3,2000,1,34.1,8.4,None,Thies_Centre
2022-04-05,Riz_5kg,epicerie,91.10974264845187,362,3,2000,1,30.7,1.8,Ramadan,Dakar_Corniche
2023-08-30,Pommes_kg,fruit,67.0,113,14,600,0,36.3,1.1,None,Dakar_Corniche
2022-07-19,Poisson_frais,poisson,52.0,421,5,1500,1,31.2,0.7,None,Dakar_Corniche
2024-07-28,Poulet_frais,viande,40.0,167,5,2500,0,29.5,6.2,None,Dakar_Corniche
2024-12-01,Huile_1L,epicerie,81.0,141,14,800,0,38.3,1.3,None,Saint-Louis_Marche
2023-08-20,Huile_1L,epicerie,98.0,197,3,800,0,29.8,1.1,None,Thies_Centre
2024-05-09,Bananes_kg,fruit,71.0,313,10,700,0,29.2,0.1,None,Dakar_Corniche
2023-05-20,Tomates_kg,legume,118.0,329,7,500,0,32.5,0.1,None,Saint-Louis_Marche
2023-09-22,Sucre_1kg,epicerie,32.0,429,14,400,0,36.7,0.5,None,Saint-Louis_Marche
2022-01-16,Sucre_1kg,epicerie,26.0,197,10,400,0,25.0,0.9,None,Saint-Louis_Marche
2024-01-25,Pommes_kg,fruit,85.0,480,10,600,0,25.0,0.1,None,Dakar_Corniche
2024-02-04,Poulet_frais,viande,44.0,168,14,2500,0,33.3,1.9,None,Thies_Centre
2024-04-12,Bananes_kg,fruit,69.0,215,10,700,0,27.9,9.2,None,Thies_Centre
2022-11-08,Riz_5kg,epicerie,50.0,293,3,2000,0,36.7,0.9,None,Thies_Centre
2024-07-06,Oignons_kg,legume,91.0,131,3,300,0,31.6,9.2,None,Saint-Louis_Marche
2023-10-28,Bananes_kg,fruit,64.0,290,5,700,1,30.1,0.6,None,Thies_Centre
2023-12-23,Tomates_kg,legume,112.0,346,7,500,0,38.5,4.1,None,Dakar_Corniche
2024-04-06,Poulet_frais,viande,108.7249944220576,262,3,2500,0,30.9,5.8,Ramadan,Saint-Louis_Marche
2022-02-10,Tomates_kg,legume,123.0,115,3,500,0,25.0,2.7,None,Dakar_Corniche
2022-01-27,Sucre_1kg,epicerie,40.0,251,14,400,0,35.7,0.9,None,Saint-Louis_Marche
2024-04-03,Poulet_frais,viande,51.09708926208073,241,5,2500,0,25.0,1.4,Ramadan,Thies_Centre
2023-11-12,Lait_1L,produit_frais,80.0,222,7,1200,0,33.7,11.6,None,Thies_Centre
2022-08-17,Huile_1L,epicerie,100.0,215,5,800,0,33.0,1.7,None,Dakar_Corniche
2022-01-31,Huile_1L,epicerie,88.0,497,5,800,0,38.8,3.1,None,Saint-Louis_Marche
2022-05-12,Huile_1L,epicerie,122.0,336,14,800,1,25.0,1.1,None,Saint-Louis_Marche
2024-04-14,Bananes_kg,fruit,65.0,466,10,700,0,29.1,2.3,None,Dakar_Corniche
2023-11-22,Poisson_frais,poisson,73.0,151,7,1500,0,34.9,3.9,None,Dakar_Corniche
2022-09-09,Bananes_kg,fruit,62.0,190,3,700,0,35.3,2.7,None,Saint-Louis_Marche
2023-04-07,Sucre_1kg,epicerie,65.26870638028275,498,10,400,0,30.2,3.0,Ramadan,Saint-Louis_Marche
2024-04-23,Poulet_frais,viande,38.0,193,10,2500,0,27.4,0.6,None,Saint-Louis_Marche
2023-10-13,Riz_5kg,epicerie,38.0,352,3,2000,0,30.2,1.8,None,Dakar_Corniche
2023-07-09,Oignons_kg,legume,94.0,335,14,300,0,28.3,0.7,None,Saint-Louis_Marche
2022-02-06,Lait_1L,produit_frais,83.0,373,10,1200,1,29.8,2.7,None,Dakar_Corniche
2023-07-17,Riz_5kg,epicerie,53.0,321,7,2000,0,40.9,0.6,None,Thies_Centre
2023-12-12,Riz_5kg,epicerie,54.0,201,10,2000,0,43.1,6.6,None,Saint-Louis_Marche
2022-05-27,Tomates_kg,legume,111.0,186,7,500,1,32.2,0.8,None,Thies_Centre
2022-04-06,Tomates_kg,legume,203.97597713277395,322,3,500,1,34.7,3.1,Ramadan,Thies_Centre
2024-06-03,Poulet_frais,viande,40.0,162,5,2500,0,32.3,0.0,None,Thies_Centre
2023-08-10,Oignons_kg,legume,92.0,380,5,300,0,26.9,6.7,None,Dakar_Corniche
2024-12-12,Riz_5kg,epicerie,57.0,499,14,2000,0,33.1,1.1,None,Thies_Centre
2022-09-23,Huile_1L,epicerie,99.0,227,5,800,0,30.0,2.2,None,Thies_Centre
2022-12-11,Lait_1L,produit_frais,85.0,328,14,1200,0,38.0,0.7,None,Dakar_Corniche
2024-02-15,Riz_5kg,epicerie,45.0,297,7,2000,0,27.8,2.4,None,Thies_Centre
2022-07-30,Poulet_frais,viande,41.0,324,14,2500,0,25.0,2.4,None,Thies_Centre
2024-05-19,Poisson_frais,poisson,73.0,345,7,1500,0,26.8,0.1,None,Thies_Centre
2023-06-01,Huile_1L,epicerie,93.0,449,5,800,0,41.2,0.7,None,Thies_Centre
2022-07-31,Lait_1L,produit_frais,90.0,170,5,1200,1,39.9,0.3,None,Thies_Centre
2023-05-15,Bananes_kg,fruit,82.0,264,14,700,0,29.8,0.3,None,Thies_Centre
2024-12-08,Poulet_frais,viande,44.0,241,14,2500,0,33.9,10.7,None,Thies_Centre
2023-02-04,Pommes_kg,fruit,68.0,355,14,600,0,25.0,3.4,None,Dakar_Corniche
2023-08-19,Tomates_kg,legume,138.0,109,10,500,0,30.3,2.2,None,Thies_Centre
2024-01-29,Riz_5kg,epicerie,48.0,414,3,2000,0,44.7,1.8,None,Saint-Louis_Marche
2024-03-09,Sucre_1kg,epicerie,24.0,422,7,400,0,32.6,0.0,None,Dakar_Corniche
2022-04-22,Tomates_kg,legume,233.37775900045875,426,7,500,0,33.2,2.2,Ramadan,Dakar_Corniche
2024-01-13,Bananes_kg,fruit,59.0,297,10,700,0,31.1,2.1,None,Dakar_Corniche
2024-06-15,Sucre_1kg,epicerie,23.0,386,14,400,0,25.0,1.2,None,Thies_Centre
2022-07-16,Oignons_kg,legume,72.0,186,10,300,0,37.9,2.7,None,Dakar_Corniche
2023-04-26,Pommes_kg,fruit,80.0,400,10,600,0,33.9,0.6,None,Thies_Centre
2023-07-06,Bananes_kg,fruit,62.0,338,7,700,0,31.7,0.0,None,Dakar_Corniche
2024-12-04,Huile_1L,epicerie,107.0,495,10,800,0,31.1,0.1,None,Dakar_Corniche
2024-09-24,Sucre_1kg,epicerie,37.0,309,3,400,1,31.9,0.2,None,Thies_Centre
2024-11-19,Lait_1L,produit_frais,72.0,195,7,1200,0,36.5,2.4,None,Thies_Centre
2024-10-14,Oignons_kg,legume,71.0,174,3,300,0,37.6,0.5,None,Dakar_Corniche
2023-04-21,Poisson_frais,poisson,164.2288886643986,451,3,1500,0,36.1,0.1,Ramadan,Thies_Centre
2024-12-10,Poisson_frais,poisson,59.0,419,14,1500,0,26.0,0.2,None,Saint-Louis_Marche
2023-03-22,Tomates_kg,legume,104.0,449,7,500,1,28.2,0.6,None,Dakar_Corniche
2024-06-25,Poulet_frais,viande,43.0,411,7,2500,0,32.1,1.7,None,Saint-Louis_Marche
2023-05-30,Poisson_frais,poisson,70.0,437,7,1500,1,26.7,0.5,None,Saint-Louis_Marche
2023-04-08,Oignons_kg,legume,219.6298209238357,269,7,300,0,31.3,0.5,Ramadan,Dakar_Corniche
2024-08-12,Poulet_frais,viande,47.0,464,14,2500,0,37.7,0.3,None,Thies_Centre
2022-02-12,Poulet_frais,viande,37.0,258,14,2500,0,32.9,1.0,None,Thies_Centre
2024-03-17,Huile_1L,epicerie,163.23508312894734,309,5,800,0,28.5,5.4,Ramadan,Dakar_Corniche
2024-01-14,Poulet_frais,viande,49.0,153,7,2500,0,35.4,9.1,None,Thies_Centre
2022-09-10,Poisson_frais,poisson,75.0,265,3,1500,0,31.9,4.9,None,Thies_Centre
2023-01-25,Tomates_kg,legume,119.0,410,5,500,0,33.8,3.7,None,Saint-Louis_Marche
2022-06-24,Tomates_kg,legume,116.0,178,7,500,0,37.7,1.6,None,Dakar_Corniche
2022-04-29,Tomates_kg,legume,246.15077873874424,234,7,500,0,36.4,0.8,Ramadan,Saint-Louis_Marche
2022-10-07,Poulet_frais,viande,40.0,341,10,2500,0,37.7,4.3,None,Saint-Louis_Marche
2023-12-25,Poisson_frais,poisson,74.0,371,14,1500,0,29.9,0.8,None,Dakar_Corniche
2024-10-06,Huile_1L,epicerie,100.0,191,5,800,0,30.3,1.9,None,Dakar_Corniche
2022-07-28,Sucre_1kg,epicerie,25.0,132,10,400,0,31.3,0.6,None,Saint-Louis_Marche
2024-01-13,Riz_5kg,epicerie,49.0,375,5,2000,1,34.6,0.6,None,Thies_Centre
2022-10-31,Sucre_1kg,epicerie,20.0,129,10,400,0,34.7,4.8,None,Dakar_Corniche
2023-11-06,Pommes_kg,fruit,81.0,479,10,600,0,35.5,4.3,None,Thies_Centre
2023-05-16,Poisson_frais,poisson,71.0,320,5,1500,0,30.5,1.4,None,Saint-Louis_Marche
2023-06-06,Tomates_kg,legume,122.0,497,10,500,0,31.8,2.1,None,Thies_Centre
2022-07-11,Tomates_kg,legume,122.0,438,14,500,0,30.6,0.4,None,Thies_Centre
2023-05-23,Poisson_frais,poisson,71.0,232,5,1500,0,34.8,0.3,None,Saint-Louis_Marche
2023-07-05,Tomates_kg,legume,123.0,448,3,500,0,30.7,0.4,None,Saint-Louis_Marche
2024-07-13,Tomates_kg,legume,121.0,466,10,500,1,45.0,1.9,None,Thies_Centre
2024-06-13,Huile_1L,epicerie,114.0,489,3,800,0,25.0,0.2,None,Saint-Louis_Marche
2022-03-25,Poisson_frais,poisson,85.0,188,5,1500,0,25.0,0.1,None,Dakar_Corniche
2023-05-02,Lait_1L,produit_frais,306.83815339729,296,14,1200,0,36.7,2.6,None,Thies_Centre
2022-10-03,Poisson_frais,poisson,63.0,364,10,1500,0,29.9,0.4,None,Dakar_Corniche
2023-05-10,Riz_5kg,epicerie,59.0,493,7,2000,0,37.1,1.3,None,Thies_Centre
2022-06-26,Huile_1L,epicerie,107.0,442,7,800,0,35.6,7.6,None,Saint-Louis_Marche
2022-07-25,Poulet_frais,viande,49.0,437,7,2500,0,31.8,1.9,None,Saint-Louis_Marche
2022-06-27,Lait_1L,produit_frais,91.0,474,5,1200,0,25.0,13.2,None,Dakar_Corniche
2023-12-09,Oignons_kg,legume,97.0,323,5,300,0,31.0,1.6,None,Dakar_Corniche
2024-12-26,Bananes_kg,fruit,60.0,243,7,700,0,33.8,5.5,None,Dakar_Corniche
2024-06-02,Huile_1L,epicerie,89.0,259,5,800,0,34.5,11.8,None,Thies_Centre
2023-08-20,Pommes_kg,fruit,71.0,488,3,600,0,39.6,3.1,None,Dakar_Corniche
2024-02-12,Pommes_kg,fruit,84.0,352,7,600,0,37.0,2.6,None,Thies_Centre
2022-07-27,Bananes_kg,fruit,62.0,234,14,700,0,25.4,0.5,None,Thies_Centre
2023-08-26,Pommes_kg,fruit,98.0,484,10,600,0,32.5,1.1,None,Thies_Centre
2023-01-01,Poulet_frais,viande,59.0,383,3,2500,0,32.2,0.2,None,Thies_Centre
2023-08-30,Sucre_1kg,epicerie,31.0,260,7,400,0,26.9,0.3,None,Saint-Louis_Marche
2024-06-05,Poulet_frais,viande,37.0,255,10,2500,0,25.0,0.4,None,Dakar_Corniche
2024-01-09,Oignons_kg,legume,98.0,443,10,300,1,26.4,1.1,None,Dakar_Corniche
2022-05-18,Tomates_kg,legume,117.0,121,7,500,0,27.6,4.8,None,Dakar_Corniche
2024-12-28,Pommes_kg,fruit,74.0,386,14,600,1,31.1,0.7,None,Thies_Centre
2023-04-19,Bananes_kg,fruit,106.22607832664855,198,5,700,0,32.9,0.2,Ramadan,Saint-Louis_Marche
2022-09-18,Bananes_kg,fruit,58.0,394,10,700,0,33.2,1.2,None,Thies_Centre
2022-03-22,Sucre_1kg,epicerie,29.0,124,5,400,0,33.0,1.0,None,Thies_Centre
2023-10-13,Poulet_frais,viande,40.0,105,10,2500,0,35.5,3.4,None,Saint-Louis_Marche
2024-12-02,Poisson_frais,poisson,90.0,484,7,1500,0,41.2,3.0,None,Saint-Louis_Marche
2023-05-17,Pommes_kg,fruit,73.0,395,14,600,0,30.2,0.6,None,Saint-Louis_Marche
2023-01-01,Tomates_kg,legume,115.0,272,3,500,0,37.3,3.7,None,Saint-Louis_Marche
2022-01-30,Sucre_1kg,epicerie,32.0,285,5,400,0,37.0,0.1,None,Thies_Centre
2023-03-22,Oignons_kg,legume,82.0,273,5,300,1,34.7,6.5,None,Saint-Louis_Marche
2024-03-25,Poisson_frais,poisson,122.2286486210182,201,5,1500,1,30.3,6.9,Ramadan,Thies_Centre
2023-09-02,Pommes_kg,fruit,90.0,372,14,600,0,29.0,3.3,None,Saint-Louis_Marche
2022-08-09,Oignons_kg,legume,87.0,397,14,300,0,35.9,0.2,None,Dakar_Corniche
2024-08-26,Lait_1L,produit_frais,82.0,382,10,1200,1,29.2,1.9,None,Thies_Centre
2024-09-10,Poisson_frais,poisson,83.0,116,5,1500,0,27.9,2.0,None,Dakar_Corniche
2023-01-02,Bananes_kg,fruit,65.0,160,3,700,1,38.2,1.0,None,Dakar_Corniche
2023-05-31,Riz_5kg,epicerie,52.0,380,10,2000,0,40.9,1.7,None,Saint-Louis_Marche
2022-12-11,Sucre_1kg,epicerie,29.0,395,3,400,0,33.9,3.7,None,Thies_Centre
2023-10-06,Sucre_1kg,epicerie,37.0,372,14,400,1,28.8,1.6,None,Dakar_Corniche
2023-07-04,Huile_1L,epicerie,124.0,380,7,800,0,36.5,1.3,None,Thies_Centre
2023-12-01,Poulet_frais,viande,41.0,385,10,2500,0,30.8,0.9,None,Thies_Centre
2022-12-29,Lait_1L,produit_frais,66.0,337,14,1200,1,29.2,2.6,None,Saint-Louis_Marche
2024-12-01,Pommes_kg,fruit,91.0,373,7,600,0,29.4,0.7,None,Saint-Louis_Marche
2023-09-07,Riz_5kg,epicerie,54.0,488,10,2000,0,34.2,2.5,None,Thies_Centre
2022-06-16,Poulet_frais,viande,38.0,401,3,2500,1,30.9,0.3,None,Dakar_Corniche
2022-04-02,Poulet_frais,viande,60.516931875544365,117,5,2500,0,36.8,1.7,Ramadan,Thies_Centre
2022-03-24,Bananes_kg,fruit,62.0,391,3,700,0,36.1,4.1,None,Thies_Centre
2024-09-16,Huile_1L,epicerie,90.0,179,14,800,0,28.6,0.6,None,Saint-Louis_Marche
2022-08-31,Poulet_frais,viande,31.0,394,3,2500,0,33.5,0.7,None,Saint-Louis_Marche
2023-03-20,Pommes_kg,fruit,84.0,128,7,600,1,29.8,1.2,None,Thies_Centre
2024-10-17,Tomates_kg,legume,118.0,214,3,500,0,38.4,2.0,None,Saint-Louis_Marche
2024-05-27,Poulet_frais,viande,39.0,186,14,2500,0,28.8,6.1,None,Saint-Louis_Marche
2024-11-19,Bananes_kg,fruit,58.0,313,3,700,0,31.8,0.2,None,Thies_Centre
2023-02-16,Oignons_kg,legume,81.0,276,5,300,0,36.5,0.8,None,Dakar_Corniche
2023-07-07,Tomates_kg,legume,134.0,421,7,500,0,29.1,0.7,None,Thies_Centre
2024-09-13,Lait_1L,produit_frais,63.0,472,5,1200,1,25.0,0.1,None,Thies_Centre
2023-12-15,Pommes_kg,fruit,81.0,206,10,600,0,25.0,3.8,None,Saint-Louis_Marche
2022-08-26,Poulet_frais,viande,37.0,139,7,2500,1,28.4,0.2,None,Thies_Centre
2023-08-04,Pommes_kg,fruit,88.0,162,10,600,0,36.5,0.6,None,Thies_Centre
2023-09-26,Pommes_kg,fruit,81.0,402,14,600,0,35.1,0.2,None,Dakar_Corniche
2022-03-23,Poulet_frais,viande,33.0,289,14,2500,0,37.1,2.8,None,Saint-Louis_Marche
2022-12-18,Sucre_1kg,epicerie,25.0,211,5,400,0,28.6,1.8,None,Dakar_Corniche
2024-09-02,Riz_5kg,epicerie,45.0,460,3,2000,1,25.4,0.9,None,Saint-Louis_Marche
2022-03-15,Lait_1L,produit_frais,80.0,220,7,1200,0,38.1,1.3,None,Dakar_Corniche
2022-07-25,Tomates_kg,legume,101.0,295,5,500,0,38.6,1.1,None,Thies_Centre
2024-12-09,Huile_1L,epicerie,91.0,460,10,800,0,35.9,0.3,None,Dakar_Corniche
2023-11-16,Tomates_kg,legume,112.0,290,5,500,0,29.2,2.3,None,Dakar_Corniche
2024-11-18,Poulet_frais,viande,37.0,329,7,2500,0,34.3,1.7,None,Saint-Louis_Marche
2024-09-27,Poisson_frais,poisson,71.0,245,7,1500,0,29.6,1.6,None,Thies_Centre
2023-03-01,Bananes_kg,fruit,60.0,424,10,700,0,29.2,2.5,None,Thies_Centre
2023-08-31,Poisson_frais,poisson,78.0,186,5,1500,0,30.3,0.6,None,Saint-Louis_Marche
2023-08-30,Oignons_kg,legume,69.0,118,7,300,1,25.0,1.2,None,Saint-Louis_Marche
2024-08-19,Lait_1L,produit_frais,81.0,437,7,1200,0,28.6,0.2,None,Dakar_Corniche
2023-10-01,Poulet_frais,viande,43.0,150,7,2500,0,25.0,3.4,None,Saint-Louis_Marche
2023-09-14,Poulet_frais,viande,39.0,168,7,2500,0,25.0,1.1,None,Saint-Louis_Marche
2024-04-11,Pommes_kg,fruit,92.0,432,3,600,1,33.2,1.3,None,Saint-Louis_Marche
2022-08-16,Oignons_kg,legume,89.0,334,14,300,0,25.0,4.3,None,Thies_Centre
2023-01-20,Tomates_kg,legume,128.0,172,7,500,0,38.4,4.7,None,Dakar_Corniche
2023-02-05,Sucre_1kg,epicerie,35.0,487,10,400,0,34.0,0.1,None,Dakar_Corniche
